'3:19:43.973 PM 4/9/2020,Scanner,PASS Connected / Connected,,,,,
'3:19:44.630 PM 4/9/2020,Remotes,PASS ID / Not Connected,,,,,
'3:19:44.711 PM 4/9/2020,DAQ System,PASS Serial Number / 26404559,,,,,
'3:19:44.814 PM 4/9/2020,DAQ Modules,PASS 6 / 6,,,,,
'3:19:45.162 PM 4/9/2020,Cryo / Suction Pedals,FAIL Valid / Valid / Invalid / Invalid,,,,,
'3:19:45.956 PM 4/9/2020,Suction (inHg),PASS 15 inHg to 35 inHg / 17.3 inHg,,,,,
'3:19:46.537 PM 4/9/2020,Level Range (%),FAIL 25 to 100 / 0,,,,,
'3:19:46.764 PM 4/9/2020,BIT Result (Overall),FAIL All Test Pass / FAIL - EMPTY,,,,,
'2:38:00.047 PM 8/20/2020,HOME,PASS HOME / HOME,,,,,
'2:38:00.973 PM 8/20/2020,Scanner,FAIL Connected / Not Connected,,,,,
'2:38:01.438 PM 8/20/2020,Remotes,PASS ID / Not Connected,,,,,
'2:38:01.518 PM 8/20/2020,DAQ System,PASS Serial Number / 26404559,,,,,
'2:38:01.708 PM 8/20/2020,DAQ Modules,PASS 6 / 6,,,,,
'2:38:02.049 PM 8/20/2020,Cryo / Suction Pedals,FAIL Valid / Valid / Invalid / Invalid,,,,,
'2:38:03.251 PM 8/20/2020,Suction (inHg),PASS 15 inHg to 35 inHg / 21.2 inHg,,,,,
'2:38:03.837 PM 8/20/2020,Level Range (%),FAIL 25 to 100 / 0,,,,,
'2:38:04.037 PM 8/20/2020,BIT Result (Overall),FAIL All Test Pass / FAIL - EMPTY,,,,,
'5:28:35.925 PM 9/11/2020,HOME,PASS HOME / HOME,,,,,
'5:28:36.771 PM 9/11/2020,Scanner,FAIL Connected / Not Connected,,,,,
'5:28:37.236 PM 9/11/2020,Remotes,PASS ID / Not Connected,,,,,
'5:28:37.315 PM 9/11/2020,DAQ System,PASS Serial Number / 26404559,,,,,
'5:28:37.513 PM 9/11/2020,DAQ Modules,PASS 6 / 6,,,,,
'5:28:37.856 PM 9/11/2020,Cryo / Suction Pedals,FAIL Valid / Valid / Invalid / Invalid,,,,,
'5:28:38.865 PM 9/11/2020,Suction (inHg),PASS 15 inHg to 35 inHg / 17.8 inHg,,,,,
'5:28:39.457 PM 9/11/2020,Level Range (%),FAIL 25 to 100 / 0,,,,,
'5:28:39.661 PM 9/11/2020,BIT Result (Overall),FAIL All Test Pass / FAIL - EMPTY,,,,,
'5:39:20.010 PM 9/11/2020,HOME,PASS HOME / HOME,,,,,
'5:39:20.255 PM 9/11/2020,Scanner,PASS Connected / Connected,,,,,
'5:39:20.910 PM 9/11/2020,Remotes,PASS ID / Not Connected,,,,,
'5:39:20.995 PM 9/11/2020,DAQ System,PASS Serial Number / 26404559,,,,,
'5:39:21.095 PM 9/11/2020,DAQ Modules,PASS 6 / 6,,,,,
'5:39:21.430 PM 9/11/2020,Cryo / Suction Pedals,FAIL Valid / Valid / Invalid / Invalid,,,,,
'5:39:22.431 PM 9/11/2020,Suction (inHg),PASS 15 inHg to 35 inHg / 15.7 inHg,,,,,
'5:39:23.051 PM 9/11/2020,Level Range (%),FAIL 25 to 100 / -0,,,,,
'5:39:23.254 PM 9/11/2020,BIT Result (Overall),FAIL All Test Pass / FAIL - EMPTY,,,,,
'6:47:21.775 PM 9/11/2020,HOME,PASS HOME / HOME,,,,,
'6:47:22.054 PM 9/11/2020,Scanner,PASS Connected / Connected,,,,,
'6:47:22.706 PM 9/11/2020,Remotes,PASS ID / Not Connected,,,,,
'6:47:22.788 PM 9/11/2020,DAQ System,PASS Serial Number / 26404559,,,,,
'6:47:22.892 PM 9/11/2020,DAQ Modules,PASS 6 / 6,,,,,
'6:47:23.227 PM 9/11/2020,Cryo / Suction Pedals,PASS Valid / Valid / Valid / Valid,,,,,
'6:47:24.246 PM 9/11/2020,Suction (inHg),PASS 15 inHg to 35 inHg / 18.4 inHg,,,,,
'6:47:24.841 PM 9/11/2020,Level Range (%),PASS 25 to 100 / 102,,,,,
'6:47:39.068 PM 9/11/2020,Vent,PASS PASS / -0.00003 / -0.00335,,,,,
'6:48:06.824 PM 9/11/2020,Pressure Build ,PASS PASS / 0.02291 / 0.21992,,,,,
'6:48:07.226 PM 9/11/2020,Pressure Sensor (PSI),PASS 22 +/- 13 / 22.9,,,,,
'6:48:11.051 PM 9/11/2020,Precool (C/min),PASS Minimum 6 / 21.4,,,,,
'6:48:23.625 PM 9/11/2020,Defrost (C/min),PASS Minimum 3 / 4.5,,,,,
'6:48:23.825 PM 9/11/2020,BIT Result (Overall),PASS All Test Pass / PASS - COMPLETE,,,,,
'7:15:26.799 PM 12/29/2020,HOME,PASS HOME / HOME,,,,,
'7:15:27.041 PM 12/29/2020,Scanner,PASS Connected / Connected,,,,,
'7:15:27.706 PM 12/29/2020,Remotes,PASS ID / Not Connected,,,,,
'7:15:27.781 PM 12/29/2020,DAQ System,PASS Serial Number / 26404559,,,,,
'7:15:27.888 PM 12/29/2020,DAQ Modules,PASS 6 / 6,,,,,
'7:15:28.220 PM 12/29/2020,Cryo / Suction Pedals,PASS Valid / Valid / Valid / Valid,,,,,
'7:15:29.420 PM 12/29/2020,Suction (inHg),PASS 15 inHg to 35 inHg / 21.0 inHg,,,,,
'7:15:30.021 PM 12/29/2020,Level Range (%),FAIL 25 to 100 / 0,,,,,
'7:15:30.220 PM 12/29/2020,BIT Result (Overall),FAIL All Test Pass / FAIL - EMPTY,,,,,
'7:52:46.792 PM 12/29/2020,HOME,PASS HOME / HOME,,,,,
'7:52:47.044 PM 12/29/2020,Scanner,PASS Connected / Connected,,,,,
'7:52:47.707 PM 12/29/2020,Remotes,PASS ID / Not Connected,,,,,
'7:52:47.787 PM 12/29/2020,DAQ System,PASS Serial Number / 26404559,,,,,
'7:52:47.895 PM 12/29/2020,DAQ Modules,PASS 6 / 6,,,,,
'7:52:48.221 PM 12/29/2020,Cryo / Suction Pedals,PASS Valid / Valid / Valid / Valid,,,,,
'7:52:49.438 PM 12/29/2020,Suction (inHg),PASS 15 inHg to 35 inHg / 22.0 inHg,,,,,
'7:52:50.047 PM 12/29/2020,Level Range (%),PASS 25 to 100 / 109,,,,,
'7:53:15.826 PM 12/29/2020,Vent,PASS PASS / -0.00025 / -0.00183,,,,,
'7:54:06.220 PM 12/29/2020,Pressure Build ,PASS PASS / 0.00510 / 0.15119,,,,,
'7:54:06.643 PM 12/29/2020,Pressure Sensor (PSI),PASS 22 +/- 13 / 24.4,,,,,
'7:54:10.221 PM 12/29/2020,Precool (C/min),PASS Minimum 6 / 15.5,,,,,
'7:54:33.621 PM 12/29/2020,Defrost (C/min),PASS Minimum 3 / 3.0,,,,,
'7:54:33.836 PM 12/29/2020,BIT Result (Overall),PASS All Test Pass / PASS - COMPLETE,,,,,
'8:04:02.048 PM 12/29/2020,HOME,PASS HOME / HOME,,,,,
'8:04:02.440 PM 12/29/2020,Scanner,PASS Connected / Connected,,,,,
'8:04:03.028 PM 12/29/2020,Remotes,PASS ID / Not Connected,,,,,
'8:04:03.111 PM 12/29/2020,DAQ System,PASS Serial Number / 26404559,,,,,
'8:04:03.293 PM 12/29/2020,DAQ Modules,PASS 6 / 6,,,,,
'8:04:03.640 PM 12/29/2020,Cryo / Suction Pedals,PASS Valid / Valid / Valid / Valid,,,,,
'8:04:04.019 PM 12/29/2020,BIT Result (Overall),FAIL All Test Pass / FAIL -  ABORT,,,,,
'8:04:34.417 PM 12/29/2020,HOME,PASS HOME / HOME,,,,,
'8:04:34.662 PM 12/29/2020,Scanner,PASS Connected / Connected,,,,,
'8:04:35.260 PM 12/29/2020,Remotes,PASS ID / Not Connected,,,,,
'8:04:35.329 PM 12/29/2020,DAQ System,PASS Serial Number / 26404559,,,,,
'8:04:35.495 PM 12/29/2020,DAQ Modules,PASS 6 / 6,,,,,
'8:04:35.646 PM 12/29/2020,BIT Result (Overall),FAIL All Test Pass / FAIL -  ABORT,,,,,
'8:26:37.320 PM 12/29/2020,HOME,PASS HOME / HOME,,,,,
'8:26:37.666 PM 12/29/2020,Scanner,PASS Connected / Connected,,,,,
'8:26:38.295 PM 12/29/2020,Remotes,PASS ID / Not Connected,,,,,
'8:26:38.376 PM 12/29/2020,DAQ System,PASS Serial Number / 26404559,,,,,
'8:26:38.491 PM 12/29/2020,DAQ Modules,PASS 6 / 6,,,,,
'8:26:38.826 PM 12/29/2020,Cryo / Suction Pedals,PASS Valid / Valid / Valid / Valid,,,,,
'8:26:40.054 PM 12/29/2020,Suction (inHg),PASS 15 inHg to 35 inHg / 20.8 inHg,,,,,
